id,user_id,type,name,description,date,resource,amount
1,7,expense,Buying 4 land in a province.,"",2025-12-07,land,4
2,7,expense,Buying 1 copper_mines in a province.,"",2025-12-07,copper_mines,1
3,6,expense,Buying 1 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,1
4,6,expense,Buying 10 cityCount in a province.,"",2025-12-08,cityCount,10
5,6,expense,Buying 10 land in a province.,"",2025-12-08,land,10
6,6,expense,Buying 1 coal_burners in a province.,"",2025-12-08,coal_burners,1
7,6,expense,Buying 2 banks in a province.,"",2025-12-08,banks,2
8,6,expense,Buying 2 army_bases in a province.,"",2025-12-08,army_bases,2
9,1,expense,Buying 50 cityCount in a province.,"",2025-12-08,cityCount,50
10,1,expense,Buying 50 land in a province.,"",2025-12-08,land,50
11,1,expense,Buying 51 cityCount in a province.,"",2025-12-08,cityCount,51
12,1,expense,Buying 100 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,100
13,1,revenue,Selling 50 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,50
14,1,expense,Buying 5 gas_stations in a province.,"",2025-12-08,gas_stations,5
15,1,expense,Buying 5 general_stores in a province.,"",2025-12-08,general_stores,5
16,1,expense,Buying 5 general_stores in a province.,"",2025-12-08,general_stores,5
17,1,expense,Buying 5 farmers_markets in a province.,"",2025-12-08,farmers_markets,5
18,1,expense,Buying 5 banks in a province.,"",2025-12-08,banks,5
19,1,expense,Buying 5 malls in a province.,"",2025-12-08,malls,5
20,1,expense,Buying 20 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,20
21,8,expense,Buying 1 cityCount in a province.,"",2025-12-08,cityCount,1
22,9,expense,Buying 1 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,1
23,9,expense,Buying 1 cityCount in a province.,"",2025-12-08,cityCount,1
24,9,expense,Buying 1 farms in a province.,"",2025-12-08,farms,1
25,6,revenue,Selling 1 coal_burners in a province.,"",2025-12-08,coal_burners,1
26,6,expense,Buying 3 army_bases in a province.,"",2025-12-08,army_bases,3
27,6,expense,Buying 1 army_bases in a province.,"",2025-12-08,army_bases,1
28,6,expense,Buying 10 land in a province.,"",2025-12-08,land,10
29,6,expense,Buying 6 aerodomes in a province.,"",2025-12-08,aerodomes,6
30,6,expense,Buying 6 harbours in a province.,"",2025-12-08,harbours,6
31,6,expense,Buying 1 admin_buildings in a province.,"",2025-12-08,admin_buildings,1
32,11,expense,Buying 1 cityCount in a province.,"",2025-12-08,cityCount,1
33,11,expense,Buying 5 cityCount in a province.,"",2025-12-08,cityCount,5
34,11,expense,Buying 6 land in a province.,"",2025-12-08,land,6
35,11,expense,Buying 2 oil_burners in a province.,"",2025-12-08,oil_burners,2
36,11,expense,Buying 2 pumpjacks in a province.,"",2025-12-08,pumpjacks,2
37,11,revenue,Selling 1 oil_burners in a province.,"",2025-12-08,oil_burners,1
38,11,expense,Buying 1 farmers_markets in a province.,"",2025-12-08,farmers_markets,1
39,13,expense,Buying 2 land in a province.,"",2025-12-08,land,2
40,13,expense,Buying 1 iron_mines in a province.,"",2025-12-08,iron_mines,1
41,13,expense,Buying 2 pumpjacks in a province.,"",2025-12-08,pumpjacks,2
42,13,expense,Buying 3 land in a province.,"",2025-12-08,land,3
43,13,expense,Buying 1 iron_mines in a province.,"",2025-12-08,iron_mines,1
44,13,expense,Buying 1 steel_mills in a province.,"",2025-12-08,steel_mills,1
45,13,expense,Buying 1 iron_mines in a province.,"",2025-12-08,iron_mines,1
46,13,expense,Buying 2 land in a province.,"",2025-12-08,land,2
47,13,expense,Buying 2 cityCount in a province.,"",2025-12-08,cityCount,2
48,13,expense,Buying 1 oil_burners in a province.,"",2025-12-08,oil_burners,1
49,13,expense,Buying 1 farmers_markets in a province.,"",2025-12-08,farmers_markets,1
50,13,expense,Buying 2 farms in a province.,"",2025-12-08,farms,2
51,14,expense,Buying 1 cityCount in a province.,"",2025-12-08,cityCount,1
52,14,expense,Buying 1 nuclear_reactors in a province.,"",2025-12-08,nuclear_reactors,1
53,13,expense,Buying 1 land in a province.,"",2025-12-08,land,1
54,13,expense,Buying 1 army_bases in a province.,"",2025-12-08,army_bases,1
55,13,expense,Buying 100 cityCount in a province.,"",2025-12-08,cityCount,100
56,13,expense,Buying 100 land in a province.,"",2025-12-08,land,100
57,13,expense,Buying 100 soldiers for your military.,"",2025-12-08,soldiers,100
58,13,expense,Buying 10 general_stores in a province.,"",2025-12-08,general_stores,10
59,13,expense,Buying 20 farms in a province.,"",2025-12-08,farms,20
